ampm,borough,cause,type,date,message,subject,time,hours,minutes,train,,,
AM,MANH,door problems,train,11/01/19,Northbound 6 trains are delayed while we remove a train with door problems from service at 42 St-Grand Central.,manh 6 trains door problems,9:07:37,9,7,6,,,
AM,MANH,surfing,person,11/01/19,6 trains are proceeding with delays in both directions after someone was surfing on top of a train near Brooklyn Bridge-City Hall.,manh 6 train surfing,8:45:37,8,45,6,,,
AM,BX,track maintenance,train,11/01/19,"Northbound 6 trains are running express from Parkchester to Pelham Bay Park because of temporary track maintenance at Zerega Av.

For service to/from bypassed stations, take a southbound train.",bx 6 train track maintenance,3:14:03,3,14,6,,,
AM,QNS,brake activation,train,11/01/19,Main St-bound 7 trains are running with delays because a train's brakes were activated in the tunnel between Manhattan and Queens.,qns 7 train network communications issue,09:20:10,9,20,7,,,
AM,QNS,injured person,person,11/01/19,Northbound 7 trains are delayed while we request EMS for someone at Queensboro Plaza.,qns 7 train injured person,4:37:23,4,37,7,,,
AM,,loss of power,other,11/01/19,7 trains are holding in stations in both directions in Manhattan and Queens while we investigate a temporary loss of third-rail power.,manh/qns 7 train loss of power,10:42:54,10,42,7,,,
AM,MANH,switch problems,train,11/01/19,"7 trains are delayed in both directions because of a switch malfunction at 34 St-Hudson Yards.

As an alternative for service between 34 St and Times Sq-42 St, take an M34-SBS bus.",manh 7 train switch malfunction,1:03:56,1,3,7,,,
AM,MANH,switch problems,train,11/01/19,7 trains are delayed in both directions because of a switch problem at 34 St-Hudson Yards.,manh 7 train switch problem,12:31:04,12,31,7,,,
AM,QNS,brake activation,train,11/01/19,A trains are delayed in both directions while we investigate why a train's brakes were activated at Far Rockaway-Mott Av.,qns a train brake activation,02:09:20,2,9,A,,,
PM,MANH,maintenance,train,11/01/19,A B C and D train service is running at slower speeds in both directions while we perform signal maintenance at 125 St.,manh a b c and d trains signal maintenance,12:21:12,12,21,A,,, D
AM,MANH,removed a train from service,train,11/01/19,"Northbound A and D trains are running on the local track from 59 St-Columbus Circle to 125 St while we move a train that was removed from service during rush hour back to the storage facility.

Expect delays in northbound service.",manh a and d trains moving out-of-service train,10:28:51,10,28,A,,,
AM,MANH,signal problems,train,11/01/19,Southbound A and D trains are running at slower speeds at 125 St because of a signal problem at that station.,manh a and d trains signal problem,7:16:10,7,16,A,,,
AM,BKLYN,brake activation,train,11/01/19,Expect longer wait times in B and Q train service in both directions after a train's brakes were activated near Parkside Av.,bklyn b and q trains brake activation,11:52:50,11,52,B,,,
PM,BKLYN,brake activation,train,11/01/19,Northbound B and Q trains are delayed while we investigate what activated a train's brakes at Prospect Park.,bklyn b and q trains brake activation,01:14:10,1,14,B,,,
AM,BKLYN,brake activation,train,11/01/19,Northbound B and Q trains are delayed because a train's brakes were activated near Parkside Av.,bklyn b and q trains brake activation,10:40:13,10,40,B,,,
PM,BKLYN,fdny,other,11/01/19,Northbound B and Q trains are delayed while we request FDNY assistance with a track fire between Prospect Park and 7 Av.,bklyn b and q trains fdny activity,2:47:52,2,47,B,,,
AM,MANH,mechanical problems,train,11/01/19,"Northbound B and C trains are delayed while we remove a train with a mechanical problem from service at 59 St-Columbus Circle.

Some northbound C trains will run on the express track from Canal St to 59 St-Columbus Circle.",manh b and c trains mechanical problem,7:44:05,7,44,B,,,
PM,BKLYN,brake activation,train,11/01/19,Northbound D trains are delayed while we investigate what activated a train's brakes at 182-183 Sts.,bklyn d train brake activation,01:12:14,1,12,D,,,
AM,BKLYN,brake activation,train,11/01/19,"Southbound D trains are being rerouted in Brooklyn while we investigate what activated a train's brakes near 36 St.

Some southbound D trains will run on the N line from 36 St to 86 St, the last stop.

Some southbound D trains will run on the R line from 36 St to 95 St, the last stop.

Expect delays in southbound service.",bklyn d train brake activation,8:07:53,8,7,D,,,
AM,MANH,ems help,person,11/01/19,Expect longer wait times for Bronx-bound D trains while we request NYPD and EMS assistance for an injured customer at 145 St.,manh d train ems assistance,2:46:26,2,46,D,,,
AM,MANH,sick passenger,person,11/01/19,Southbound D trains are delayed while we request EMS to assist someone at 59 St-Columbus Circle.,manh d train sick passenger,12:12:56,12,12,D,,,
PM,BX,unauthorized person,person,11/01/19,Northbound D trains are delayed while we investigate an unauthorized person on the tracks at Kingsbridge Road.,bx d trains unauthorized person on tracks,8:24:50,8,24,D,,,
AM,QNS,assault,person,11/01/19,Jamaica-bound E trains are delayed while we request NYPD and EMS assistance for a customer who was assaulted at Court Sq-23 St.,qns e train assault,3:53:32,3,53,E,,,
PM,QNS,investigation,person,11/01/19,"Northbound E, F and R trains are delayed because of an NYPD investigation at Queens Plaza.",qns e f and r trains nypd investigation,7:42:44,7,42,E,,,
AM,BKLYN,assault,person,11/01/19,Chambers St-bound J trains are delayed while we request NYPD and EMS assistance at Cypress Hills.,bklyn j train assault,3:50:51,3,50,J,,,
PM,QNS,investigation,person,11/01/19,71 Av-bound M trains are stopping along the F line from 47-50 Sts to 36 St (Qns) because of an NYPD investigation at Queens Plaza.,qns m trains nypd investigation,7:41:22,7,41,M,,,
PM,BKLYN,brake activation,train,11/01/19,Northbound N trains are delayed while we investigate why a train's brakes were activated at 8 Av.,bklyn n trains brake activation,8:31:23,8,31,N,,,
PM,BKLYN,brake activation,train,11/01/19,Northbound N trains are delayed while we investigate why a train's brakes were activated at 20 Av.,bklyn n trains brake activation,8:07:07,8,7,N,,,
PM,MANH,medical problems,person,11/01/19,Northbound N and Q trains are running with delays while we request medical assistance for someone at 14 St-Union Sq.,manh n and q trains medical assistance,2:16:28,2,16,N,,,
AM,MANH,unsanitary train,person,11/01/19,Expect longer waits for southbound N and W trains after we isolated a car with a soiled interior at 57 St-7 Av.,manh n and w trains soiled interior,9:57:08,9,57,N,,,
AM,BKLYN,brake activation,train,11/01/19,Southbound Q trains are running express from Prospect Park to Kings Hwy while we investigate why a train's brakes were activated at Cortelyou Rd.,bklyn q train brake activation,12:12:15,12,12,Q,,,
AM,BKLYN,brake activation,train,11/01/19,Southbound Q trains are proceeding with delays after a fallen tree branch activated a train's brakes at Parkside Av.,bklyn q train brake activation,9:24:36,9,24,Q,,,
AM,BKLYN,tree branches,other,11/01/19,"Q trains are running on the D line in both directions between DeKalb Av and Coney Island-Stillwell Av while we remove a fallen tree branch near Beverley Rd.

See a station agent and receive a courtesy pass for continuing service.

Consider taking nearby B36, B41, B68 buses running along the Q line or B1, B3, B6, B8, B9, B35, and B82 crosstown bus service to nearby 2 D F and N trains.",bklyn q trains,2:51:40,2,51,Q,,,
PM,MANH,medical problems,person,11/01/19,Expect delays in R and W train service as they share the local track with N and Q trains while we request medical assistance for someone at 14 St-Union Sq.,manh r and w trains medical assistance,2:28:57,2,28,R,,,
AM,QNS,loss of power,other,11/01/19,Rockaway S trains are delayed in both directions while we investigate a temporary power outage at Rockaway Park-Beach 116 St.,qns rockaway shuttle trains power outage,12:52:26,12,52,S,,,
AM,SI,slippery rails,other,11/01/19,SIR trains are running with delays due to slippery rails.,si sir trains slippery rails,8:56:54,8,56,SIR,,,
AM,BKLYN,switch problems,train,11/01/19,Expect longer wait times for the Franklin Av shuttle because of a switch malfunction at Prospect Park.,bklyn franklin shuttle switch malfunction,2:06:10,2,6,S,,,
AM,MANH,track maintenance,train,11/01/19,Bronx-bound 4 and 6 trains are running on the express track from 42 St-Grand Central to 125 St because of track maintenance at Lexington Av-59 St.,manh 4/6 trains track maintenance,1:46:06,1,46,4,,,
AM,SI,tree branches,other,11/01/19,There is no SIR train service between Tottenville and St. George while we work to remove tree branches off the tracks near Old Town.,si sir train tree branches,5:03:48,5,3,SIR,,,
PM,MANH,struck by train,person,11/02/19,Southbound 1 2 3 trains are delayed while we investigate reports that someone was struck by a train at 34 St-Penn Station.,manh 1 2 and 3 trains customer struck by train,9:21:46,9,21,1,,,
AM,MANH,track maintenance,train,11/02/19,"Downtown 1 and 2 trains are running on the express track from 96 St to 72 St because of track maintenance at 96 St. 

For service to/from bypassed stations, take a Bronx-bound train.",manh 1 and 2 trains track maintenance,1:10:41,1,10,1,,,
PM,BKLYN,raccoon,other,11/02/19,Bronx-bound 4 trains are delayed while the police works to retrieve a raccoon on the tracks at Nevins St.,bklyn 4 trains raccoon on the tracks,11:47:21,11,47,4,,,
PM,BKLYN,raccoon,other,11/02/19,Crown Heights-bound 4 trains are delayed while we request assistance to retrieve a raccoon on the tracks at Nevins St.,bklyn 4 trains raccoon on the tracks,10:52:09,10,52,4,,,
PM,BX,ems help,person,11/02/19,"Northbound 6 trains are running express from Parkchester to Pelham Bay Park while we get EMS help for someone at Castle Hill Av.

For service to/from bypassed stations, take a southbound train.",bx 6 train ems help,1:11:32,1,11,6,,,
AM,QNS,bridge,other,11/02/19,A trains are proceeding with delays in the Rockaways after the South Channel Bride was closed.,qns a train bridge closed,11:24:57,11,24,A,,,
AM,MANH,signal problems,train,11/02/19,"Uptown A and E trains are running on the express track from Canal St to 59 St-Columbus Circle/42 St-Port Authority Bus Terminal because of a signal problem near West 4 St-Washington Square.

For service to/from bypassed stations, take a downtown train.",manh a and e trains signal problem,3:09:54,3,9,A,,,
PM,QNS,mechanical problems,train,11/02/19,"Southbound E, F, and R trains are delayed while we remove a train with mechanical problems at Jackson Heights-Roosevelt Av.",qns e f and r trains mechanical problem,1:42:10,1,42,E,,,
PM,BKLYN,medical problems,person,11/02/19,F and G trains are delayed in both directions while we get medical help for someone at Church Av.,bklyn f and g trains medical assistance,6:15:08,6,15,F,,,
AM,QNS,switch problems,train,11/02/19,"F trains are not running between 179 St-Jamaica and Briarwood because of a switch problem at 169 St.

Some northbound F trains are running on the E line from Forest Hills-71 Av to Jamaica Ctr-Parsons Archer.

See a station agent for a courtesy pass to continue service on a subway or bus.

As an alternative, take the Q60 bus.",qns f train switch poblem,11:22:50,11,22,F,,,
AM,QNS,switch problems,train,11/02/19,Northbound F trains are running on the local track from Jackson Hts-Roosevelt Av to Forest Hills-71 Av because of a switch problem at Jackson Hts-Roosevelt Av.,qns f trains switch problem,2:32:50,2,32,F,,,
PM,QNS,brake activation,train,11/02/19,G trains are delayed in both directions while we investigate why a train's brakes were activated at Court Sq.,qns g trains brake activation,3:44:09,3,44,G,,,
PM,MANH,medical problems,person,11/02/19,The last stop on some Manhattan-bound M trains will be Essex St while we get medical help for someone at 96 St.,manh m trains medical help,8:56:36,8,56,M,,,
AM,,rail replacement,train,11/02/19,"N trains have multiple impacts and delays while our crews perform rail replacement in the tunnel between Lexington Av-59 St and Queensboro Plaza. 

Some Astoria-bound N trains are stopping on the Q line from 57 St-7 Av ending at 96 St. 

Expect longer wait times in N service between Astoria-Ditmars Blvd and 5 Av-59 St.",manh/qns n trains rail replacement,4:02:20,4,2,N,,,
AM,MANH,sick passenger,person,11/02/19,Southbound N and R trains are proceeding with delays after EMS assisted a customer at 57 St-7 Av.,manh n and r trains sick passenger,8:13:05,8,13,N,,,
PM,MANH,signal malfunction,train,11/02/19,Northbound N and R trains are running with delays because of a signal malfunction at Lexington Av/59 St.,manh n and r trains signal malfunction,7:04:54,7,4,N,,,
AM,MANH,track maintenance,train,11/02/19,Q trains are delayed in both directions while we conduct temporary track maintenance at 57 St.,manh q train track maintenance,2:39:29,2,39,Q,,,
PM,MANH,signal problems,train,11/02/19,Southbound R trains are delayed while we work to correct a signal problem at Cortlandt St.,manh r trains signal problem,8:59:43,8,59,R,,,
AM,MANH,track maintenance,train,11/03/19,South Ferry-bound 1 trains are delayed while crews perform track maintenance at WTC-Cortlandt.,manh 1 trains track maintenance,3:06:21,3,6,1,,,
AM,BX,brake activation,train,11/03/19,Wakefield-bound 2 trains are delayed while we investigate why a train's brakes were activated at Jackson Av.,bx 2 trains brake activation,1:33:32,1,33,2,,,
PM,BKLYN,ems help,person,11/03/19,Southbound 2 and 3 trains are delayed while we get EMS for someone at Clark St.,bklyn 2 and 3 trains ems assistance,3:45:38,3,45,2,,,
AM,BX,mechanical problems,train,11/03/19,Wakefield-bound 2 trains are delayed while we remove a train with a mechanical problem from service at East Tremont Av-West Farms Square.,bx 2 trains mechanical problem,2:14:52,2,14,2,,,
AM,MANH,signal problems,train,11/03/19,2 trains are running with delays in both directions because of a signal problem at E 180 St.,manh 2 train signal problem,9:00:26,9,0,2,,,
PM,BKLYN,signal problems,train,11/03/19,Southbound 3 and 4 trains are running at slower speeds near Utica Av because of a signal problem at that station.,bklyn 3 and 4 trains signal problem,11:26:39,11,26,3,,,
PM,MANH,door problems,train,11/03/19,Expect longer wait times for southbound 4 trains while we remove a train with a door problem from service at Nevins St.,manh 4 train door problem,10:41:28,10,41,4,,,
PM,MANH,ems help,person,11/03/19,Northbound 4 and 5 trains are holding in stations while we get EMS for someone at 125 St.,manh 4 and 5 trains ems assistance,3:01:18,3,1,4,,,
PM,BKLYN,medical problems,person,11/03/19,Northbound 4 trains delayed while we request EMS assistance for someone at Atlantic Av-Barclays Ctr.,bklyn 4 trains medical assistance,12:22:35,12,22,4,,,
PM,MANH,sick passenger,person,11/03/19,Southbound 4 trains are delayed while we request EMS assistance for someone at Brooklyn Bridge-City Hall.,manh 4 train sick customer,1:18:11,1,18,4,,,
PM,MANH,ems help,person,11/03/19,"Southbound 6 trains are running on the express track from 125 St to Grand Central-42 St while we get EMS for someone at 68 St-Hunter College.

For service to/from bypassed stations, take a northbound train.",manh 6 trains ems assistance,3:23:08,3,23,6,,,
AM,MANH,medical problems,person,11/03/19,Expect longer wait times in northbound 4 5 and 6 train service after earlier reports of someone in need of medical assistance  at 14 St-Union Sq.,manh 45 and 6 trains medical assistance-earlier incident,10:47:15,10,47,6,,,
AM,BX,signal problems,train,11/03/19,Southbound 6 trains are running at slower speeds while we work to correct a signal problem at Parkchester.,bx 6 trains signal problem,8:20:25,8,20,6,,,
PM,MANH,vandalized trains,person,11/03/19,Expect longer wait times for Queens-bound 7 trains while we remove a vandalized train from service at 34 St-Hudson Yards.,manh 7 trains vandalized train,10:51:00,10,51,7,,,
AM,MANH,fdny,person,11/03/19,"Southbound A and C trains are not stopping at 135 St because of FDNY activity at that station.
For service to/from 135 St, take a northbound train.",manh a and c train fdny activity,10:04:56,10,4,A,,,
PM,BKLYN,unsanitary train,person,11/03/19,Southbound A and C trains are running with delays while we isolate a dirty train car at Hoyt-Schermerhorn.,bklyn a and c trains isolated dirty car,12:19:37,12,19,A,,,
AM,BKLYN,signal problems,train,11/03/19,Broad St-bound J and 96 St-bound M trains are running at slower speeds while we work to correct a signal problem at Delancey St-Essex St.,bklyn j and m trains signal problems,10:31:15,10,31,J,,,
PM,BKLYN,mechanical problems,train,11/03/19,8 Av-bound L trains are delayed while we remove a train with mechanical problems from service at Myrtle-Wyckoff Avs.,bklyn l train mechanical problem,1:05:17,1,5,L,,,
AM,MANH,track maintenance,train,11/03/19,N trains are delayed in both directions while crews perform track maintenance at Lexington Av-59 St.,manh n trains track maintenance,2:23:07,2,23,N,,,
AM,MANH,medical problems,person,11/03/19,Northbound R trains are delayed while we request EMS assistance for someone at 14 St-Union Sq.,manh r trains medical assistance,9:01:06,9,1,R,,,
PM,BKLYN,disruptive passenger,person,11/03/19,"4, 5 and 6 service is delayed in both directions because of an unauthorized person on the tracks at Brooklyn Bridge-City Hall.",bklyn 4/5/6 trains disruptive passenger,10:10:25,10,10,4,,,
PM,MANH,fdny,other,11/03/19,Southbound 2 and 3 trains are running on the local track from 96 St to Times Sq-42 St because of FDNY assistance for a track fire at 72 St.,manh 2/3 trains fdny assistance,10:23:05,10,23,2,,,
PM,MANH,brake activation,train,11/04/19,Southbound 1 trains are delayed while we investigate why a train's brakes were activated at Rector St.,manh 1 trains brake activation,7:57:47,7,57,1,,,
AM,MANH,brake activation,train,11/04/19,Southbound 1 trains are delayed while we investigate a train that had its brake activation at 191 St.,manh 1 trains brake activation,1:53:01,1,53,1,,,
AM,MANH,investigation,person,11/04/19,Southbound 1 trains are proceeding with delays after NYPD responded to a request for assistance at Chambers St.,manh 1 train investigation,8:41:55,8,41,1,,,
PM,MANH,person riding between train cars,person,11/04/19,Northbound 1 trains are delayed while we investigate reports of someone riding between train cars at Chambers St.,manh 1 train person riding between train cars,12:37:40,12,37,1,,,
AM,MANH,switch problems,train,11/04/19,1 trains are running with delays in both directions because of a switch problem at 145 St.,manh 1 trains switch problem,4:47:10,4,47,1,,,
AM,BKLYN,ems help,person,11/04/19,Northbound 2 and 3 trains are delayed while we remove a train from service and get medical help for someone at Borough Hall.,bklyn 2 and 3 trains ems assistance,8:25:58,8,25,2,,,
AM,BX,ems help,person,11/04/19,Northbound 2 trains are delayed while we request EMS assistance for a sick passenger at Bronx Park East.,bx 2 train ems assistance,5:53:30,5,53,2,,,
AM,MANH,signal malfunction,train,11/04/19,Northbound 3 trains are moving at slower speeds because of a signal malfunction near 66 St-Lincoln Center.,manh 3 train signal malfunction,1:08:00,1,8,3,,,
PM,BKLYN,brake activation,train,11/04/19,Expect longer wait times in southbound 4 train service after we moved a train with it's brake activation at Crown Hts-Utica Av.,bklyn 4 trains brake activation,8:25:09,8,25,4,,,
PM,BKLYN,medical problems,person,11/04/19,Northbound 4 trains are delayed while we request EMS assistance for someone at Crown Hts-Utica Av.,bklyn 4 trains medical assistance,8:33:34,8,33,4,,,
PM,MANH,medical problems,person,11/04/19,Downtown 4 and 5 trains are holding in stations while EMS responds to someone in need of medical assistance at Bowling Green.,manh 4 and 6 trains someone in need of medical,11:33:51,11,33,4,,,
AM,BX,mechanical problems,train,11/04/19,"Southbound 5 trains are running express from Eastchester-Dyre Av to East 180 St while we remove a train with a mechanical problem from service at Baychester Av.

Expect delays in southbound service.

For service to/from Baychester Av, Gun Hill Rd, Pelham Pkwy and Morris Park, take a northbound train.",bx 5 train mechanical problem,7:31:31,7,31,5,,,
PM,MANH,medical problems,person,11/04/19,Expect longer waits for northbound 6 and 6 express trains after we got medical help for someone at 23 St.,manh 6 and 6 express trains medical help,1:14:22,1,14,6,,,
PM,MANH,removed a train from service,train,11/04/19,Southbound 6 trains are holding in stations in Manhattan while we removed a train with mechanical problems from service at Bleecker St.,manh 6 trains train removed from service,9:22:00,9,22,6,,,
PM,,mechanical problems,train,11/04/19,Main St-bound 7 trains are delayed while we remove a train with mechanical problems from service at 34 St-Hudson Yards.,manh. 7 trains mechanical problem,4:00:34,4,0,7,,,
AM,BKLYN,door problems,train,11/04/19,Northbound A trains are delayed while we remove a train with a door problem from service at Utica Av.,bklyn a train door problem,8:18:50,8,18,A,,,
AM,MANH,door problems,train,11/04/19,Expect longer waits for southbound A trains after we fixed a door problem on a train at 175 St.,manh a train door problem,9:49:53,9,49,A,,,
AM,MANH,ems help,person,11/04/19,"Southbound A trains are running on the local track from 42 St-Port Authority Bus Terminal to W 4 St-Wash Sq while EMS assists someone at Canal St.

Southbound A trains that are on the express track are holding in stations from 34 St-Penn Station to Canal St.",manh a train ems assistance,8:04:02,8,4,A,,,
AM,MANH,medical problems,person,11/04/19,Southbound A and C trains are delayed while we get medical help for someone at High St.,manh a and c trains medical help,8:44:36,8,44,A,,,
PM,MANH,medical problems,person,11/04/19,Northbound A and D trains are delayed while we request medical assistance for someone at 59 St-Columbus Circle.,manh a and d trains medical assistance,2:21:49,2,21,A,,,
PM,MANH,medical problems,person,11/04/19,A trains are delayed in both directions while EMS responds to someone in need of medical attention at Inwood-207 St.,manh a trains someone in need of medical attention,11:31:41,11,31,A,,,
PM,BKLYN,removed a train from service,train,11/04/19,Expect longer wait times for northbound A and C trains after we removed a train from service at Hoyt-Schermerhorn.,bklyn a and c trains train removed from service,8:13:26,8,13,A,,,
AM,MANH,unsanitary train,person,11/04/19,Southbound A and D trains are running local from 125 St to 59 St while we isolate a dirty train car at 125 St.,manh a and d trains isolate a car,7:41:41,7,41,A,,,
PM,BKLYN,brake activation,train,11/04/19,Northbound B and Q trains are holding in stations in Brooklyn while we investigate why a train's brakes were activated at Prospect Park.,bklyn b and q trains brake activation,7:38:00,7,38,B,,,
AM,BKLYN,medical problems,person,11/04/19,Northbound B and Q trains are delayed while we get medical help for someone at DeKalb Av.,bklyn b and q train medical help,9:20:41,9,20,B,,,
AM,BKLYN,signal problems,train,11/04/19,"Northbound B trains are running on the local track from Kings Hwy to Prospect Park because of a signal problem on the express track near Avenue U.

Expect delays in northbound service.",bklyn b train signal problem,8:33:00,8,33,B,,,
AM,MANH,ems help,person,11/04/19,Southbound C and E trains are holding in stations in Manhattan while EMS assists someone at Canal St.,manh c and e trains ems assistance,8:05:26,8,5,C,,,
AM,BKLYN,lost child,person,11/04/19,Northbound C trains are delayed while NYPD checks a train for a lost child at Liberty Av.,bklyn c train lost child,7:25:24,7,25,C,,,
AM,MANH,brake activation,train,11/04/19,Northbound D trains are delayed while we investigate a train that had its brake activation at 155 St.,manh d trains brake activation,4:23:37,4,23,D,,,
PM,BKLYN,door problems,train,11/04/19,Southbound D trains are holding in stations in Brooklyn while our crews work to correct a door malfunction on a train at 18 Av.,bklyn d trains door malfunction,4:44:34,4,44,D,,,
AM,MANH,ems help,person,11/04/19,Northbound A and D trains are delayed while we request EMS assistance for an injured passenger at 125 St.,manh d train ems assistance,1:38:36,1,38,D,,,
PM,BKLYN,fdny,other,11/04/19,"Northbound D trains are running express from Bay Pkwy to 62 St while we request FDNY to investigate reports of smoke at Bay Pkwy.

For service to/from bypassed stations, consider using southbound D train service.",bklyn d trains fdny,9:14:51,9,14,D,,,
PM,BX,mechanical problems,train,11/04/19,Expect longer waits for southbound D trains after we removed a train with a mechanical problem from service at Norwood-205 St.,bx d train mechanical problem,1:36:38,1,36,D,,,
AM,BKLYN,brake activation,train,11/04/19,Southbound F trains are delayed while we investigate what activated a train's brakes at W 8 St-NY Aquarium.,bklyn f train brake activation,11:24:45,11,24,F,,,
PM,MANH,unsanitary train,person,11/04/19,Northbound F and 71 Av-bound M trains are running express from B'way-Lafayette St to W 4 St-Washington Sq while we remove a soiled train car from service at W 4 St-Washington Sq.,manh f and m trains medical assistance,4:17:16,4,17,F,,,
PM,QNS,disruptive passenger,person,11/04/19,Expect longer wait times for Jamaica-bound J trains after NYPD removed a disruptive passenger at 104 St.,qns j trains disruptive passenger,4:07:58,4,7,J,,,
PM,MANH,door problems,train,11/04/19,J trains are holding in stations in both directions while we remove a train with a door malfunction from service at Chambers St.,manh j trains door malfunction,5:14:12,5,14,J,,,
PM,BKLYN,medical problems,person,11/04/19,Jamaica-bound J trains are running local from Marcy Av to Myrtle Av while we request medical assistance for someone at Myrtle Av.,bklyn j trains medical assistance,3:18:48,3,18,J,,,
AM,BKLYN,investigation,person,11/04/19,Manhattan-bound L trains are delayed while our crews conduct an investigation on the tracks at Bushwick Av-Aberdeen St.,bklyn l train track investigation,5:38:12,5,38,L,,,
AM,QNS,medical problems,person,11/04/19,M trains are delayed in both directions while we help someone who needs medical assistance at Metropolitan Av-Middle Village.,qns m trains medical assistance,5:53:17,5,53,M,,,
AM,,vandalized trains,person,11/04/19,Expect longer waits for Metropolitan Av-bound M trains after we removed multiple vandalized trains from service at Forest Hills-71 Av.,manh/bklyn m train vandalized trains,7:16:10,7,16,M,,,
AM,QNS,ems help,person,11/04/19,Southbound N trains are delayed while we request EMS assistance for an injured passenger at 30 Av.,qns n train ems assistance,1:23:23,1,23,N,,,
PM,BKLYN,medical problems,person,11/04/19,Northbound N trains are running local from 59 St (Bklyn) to 36 St (Bklyn) while we request medical assistance for someone at 59 St (Bklyn).,bklyn n trains medical assistance,3:24:02,3,24,N,,,
PM,MANH,door problems,train,11/04/19,Southbound R trains are running with delays while we work to correct a train with a door problem at Canal St.,manh r trains door problem,8:37:35,8,37,R,,,
PM,BKLYN,medical problems,person,11/04/19,Expect delays in R train service as they share the local track with N trains while we request medical assistance for someone at 59 St (Bklyn).,bklyn r trains medical assistance,3:24:37,3,24,R,,,
AM,BKLYN,track maintenance,train,11/04/19,Church Av-bound F and G trains are delayed while we conduct track maintenance near 4 Av.,bklyn f/g trains track maintenance,3:52:40,3,52,F,,,
AM,SI,wet leaves,other,11/04/19,SIR trains are experiencing delays in both directions while we move trains at slower speeds because of wet leaves on the tracks.,si sir wet leaves,6:44:36,6,44,SIR,,,
PM,MANH,mechanical problems,train,11/05/19,Northbound 1 trains are running with delays after we removed a train with a mechanical problem from service at 191 St.,manh 1 train mechanical problem,2:00:19,2,0,1,,,
PM,BX,disruptive passenger,person,11/05/19,Northbound 2 and 5 trains are delayed while we request NYPD assistance for a disruptive passenger at E 180 St.,bx 2 and 5 trains disruptive passenger,6:20:23,6,20,2,,,
PM,MANH,door problems,train,11/05/19,Northbound 2 and 3 trains are delayed while our crews work to correct a door malfunction on a train at 72 St.,manh 2 and 3 trains door malfunction,4:48:50,4,48,2,,,
AM,BX,investigation,person,11/05/19,Northbound 2 trains are delayed because of an NYPD investigation at 3 Av-149 St.,bx 2 trains nypd investigation,4:07:18,4,7,2,,,
AM,MANH,brake activation,train,11/05/19,Northbound 4 and 5 trains are delayed while we investigate what activated a train's brakes at Wall St.,manh 4 and 5 trains brake activation,8:08:04,8,8,4,,,
PM,BKLYN,nypd activity,person,11/05/19,Northbound 4 trains are delayed while NYPD responds to a request for assistance at Nevins St.,bklyn 4 train nypd activity,12:43:25,12,43,4,,,
AM,MANH,nypd activity,person,11/05/19,Northbound 4 and 5 trains are running local from Grand Central-42 St to 125 St because of NYPD activity at 59 St.,manh 4 and 5 trains nypd activity,7:39:05,7,39,4,,,
