no,which,ampm,borough,cause,date,fulldate,message,subject,time,train,,
15,NYC,PM,MANH,ems help,11/01/2019,11/01/2019 6:25:35 PM,"There are delays and multiple impacts in 4 and 5 train service while we request NYPD and EMS assistance for someone at 14 St-Union Sq. 

Northbound 4 and 5 trains are running on the local track from 14 St-Union Sq to Grand Central-42 St. 

Some northbound 5 trains are stopping along the 2 line from Nevins St to 149 St-Grand Concourse.",manh 4 and 5 trains nypd and ems assistance,6:25:35,"4, 5",,
0,NYC,AM,MANH,ems help,11/01/2019,11/01/2019 2:46:26 AM,Expect longer wait times for Bronx-bound D trains while we request NYPD and EMS assistance for an injured customer at 145 St.,manh d train ems assistance,2:46:26,D,,
38,NYC,PM,BKLYN,fdny,11/01/2019,11/01/2019 2:47:52 PM,Northbound B and Q trains are delayed while we request FDNY assistance with a track fire between Prospect Park and 7 Av.,bklyn b and q trains fdny activity,2:47:52,"B, Q",,
24,NYC,AM,QNS,injured person,11/01/2019,11/01/2019 4:37:23 AM,Northbound 7 trains are delayed while we request EMS for someone at Queensboro Plaza.,qns 7 train injured person,4:37:23,7,,
41,NYC,PM,QNS,investigation,11/01/2019,11/01/2019 7:42:44 PM,"Northbound E, F and R trains are delayed because of an NYPD investigation at Queens Plaza.",qns e f and r trains nypd investigation,7:42:44,"E, F, R",,
42,NYC,PM,QNS,investigation,11/01/2019,11/01/2019 7:41:22 PM,71 Av-bound M trains are stopping along the F line from 47-50 Sts to 36 St (Qns) because of an NYPD investigation at Queens Plaza.,qns m trains nypd investigation,7:41:22,M,,
20,NYC,AM,,loss of power,11/01/2019,11/01/2019 10:42:54 AM,7 trains are holding in stations in both directions in Manhattan and Queens while we investigate a temporary loss of third-rail power.,manh/qns 7 train loss of power,10:42:54,7,,
5,NYC,AM,QNS,loss of power,11/01/2019,11/01/2019 12:52:26 AM,Rockaway S trains are delayed in both directions while we investigate a temporary power outage at Rockaway Park-Beach 116 St.,qns rockaway shuttle trains power outage,12:52:26,,,
19,NYC,PM,MANH,maintenance,11/01/2019,11/01/2019 12:21:12 PM,A B C and D train service is running at slower speeds in both directions while we perform signal maintenance at 125 St.,manh a b c and d trains signal maintenance,12:21:12,"A, B, C, D",,
6,NYC,AM,MANH,mechanical problems,11/01/2019,11/01/2019 7:44:05 AM,"Northbound B and C trains are delayed while we remove a train with a mechanical problem from service at 59 St-Columbus Circle.

Some northbound C trains will run on the express track from Canal St to 59 St-Columbus Circle.",manh b and c trains mechanical problem,7:44:05,"B, C",,
3,NYC,PM,BKLYN,medical problems,11/01/2019,11/01/2019 7:18:38 PM,2 and 5 trains are delayed in both directions in Brooklyn while we request medical assistance for an injured passenger at Flatbush Av-Brooklyn College.,bklyn 2 and 5 trains medical assistance,7:18:38,"2, 5",,
3,NYC,PM,MANH,medical problems,11/01/2019,11/01/2019 2:16:28 PM,Northbound N and Q trains are running with delays while we request medical assistance for someone at 14 St-Union Sq.,manh n and q trains medical assistance,2:16:28,"N, Q",,
44,NYC,PM,MANH,medical problems,11/01/2019,11/01/2019 2:28:57 PM,Expect delays in R and W train service as they share the local track with N and Q trains while we request medical assistance for someone at 14 St-Union Sq.,manh r and w trains medical assistance,2:28:57,"R, W",,
9,NYC,PM,BKLYN,rail repair,11/01/2019,11/01/2019 2:08:07 PM,Expect delays in 2 and 3 train service as they share the local track with 5 trains while our crews repair a rail at Eastern Pkwy-Brooklyn Museum.,bklyn 2 and 3 trains rail repair,2:08:07,"2, 3",,
10,NYC,PM,BKLYN,rail repair,11/01/2019,11/01/2019 2:07:22 PM,"There are delays and multiple impacts in 5 train service while our crews repair a rail at Eastern Pkwy-Brooklyn Museum.

Northbound 5 trains are running local from Franklin Av to Atlantic Av-Barclays Ctr. 

Some southbound 5 trains are ending at Bowling Green.",bklyn 5 trains rail repair,2:07:22,5,,
11,NYC,PM,BX,removed a train from service,11/01/2019,11/01/2019 8:30:24 PM,"Northbound 2 and 5 trains are running on the express track from 3 Av-149 St to E 180 St while we remove a train from service at Jackson Av.

For service to/from bypassed stations, take a southbound 2 or 5 train.",bx 2 and 5 trains train removed from service,8:30:24,"2, 5",,
2,NYC,PM,MANH,removed a train from service,11/01/2019,11/01/2019 8:43:29 PM,Northbound 1 trains are delayed while we remove a train from service at Houston St.,manh 1 trains train removed from service,8:43:29,1,,
43,NYC,PM,MANH,removed a train from service,11/01/2019,11/01/2019 7:40:45 PM,Southbound 2 3 trains are running on the local track from 34 St-Penn Station to 14 St while we remove a train from service at 14 St.,manh 2 and 3 trains train removed from service,7:40:45,"2, 3",,
33,NYC,AM,MANH,removed a train from service,11/01/2019,11/01/2019 10:28:51 AM,"Northbound A and D trains are running on the local track from 59 St-Columbus Circle to 125 St while we move a train that was removed from service during rush hour back to the storage facility.

Expect delays in northbound service.",manh a and d trains moving out-of-service train,10:28:51,"A, D",,
34,NYC,AM,MANH,sick passenger,11/01/2019,11/01/2019 12:12:56 AM,Southbound D trains are delayed while we request EMS to assist someone at 59 St-Columbus Circle.,manh d train sick passenger,12:12:56,D,,
29,NYC,AM,MANH,signal problems,11/01/2019,11/01/2019 7:16:10 AM,Southbound A and D trains are running at slower speeds at 125 St because of a signal problem at that station.,manh a and d trains signal problem,7:16:10,"A, D",,
42,NYC,AM,SI,slippery rails,11/01/2019,11/01/2019 8:56:54 AM,SIR trains are running with delays due to slippery rails.,si sir trains slippery rails,8:56:54,,,
6,NYC,AM,MANH,unsanitary train,11/01/2019,11/01/2019 9:57:08 AM,Expect longer waits for southbound N and W trains after we isolated a car with a soiled interior at 57 St-7 Av.,manh n and w trains soiled interior,9:57:08,"N, W",,
6,NYC,AM,MANH,surfing,11/01/2019,11/01/2019 8:45:37 AM,6 trains are proceeding with delays in both directions after someone was surfing on top of a train near Brooklyn Bridge-City Hall.,manh 6 train surfing,8:45:37,6,,
33,NYC,AM,BKLYN,switch problems,11/01/2019,11/01/2019 2:06:10 AM,Expect longer wait times for the Franklin Av shuttle because of a switch malfunction at Prospect Park.,bklyn franklin shuttle switch malfunction,2:06:10,,,
42,NYC,AM,MANH,switch problems,11/01/2019,11/01/2019 1:03:56 AM,"7 trains are delayed in both directions because of a switch malfunction at 34 St-Hudson Yards.

As an alternative for service between 34 St and Times Sq-42 St, take an M34-SBS bus.",manh 7 train switch malfunction,1:03:56,7,,
24,NYC,AM,MANH,switch problems,11/01/2019,11/01/2019 12:31:04 AM,7 trains are delayed in both directions because of a switch problem at 34 St-Hudson Yards.,manh 7 train switch problem,12:31:04,7,,
13,NYC,PM,MANH,track geometry train,11/01/2019,11/01/2019 12:40:24 PM,Northbound 4 and 5 trains are moving at slower speeds in Manhattan while our track geometry train inspects tracks in that area.,manh 4 and 5 trains track geometry train,12:40:24,"4, 5",,
31,NYC,AM,BX,track maintenance,11/01/2019,11/01/2019 3:14:03 AM,"Northbound 6 trains are running express from Parkchester to Pelham Bay Park because of temporary track maintenance at Zerega Av.

For service to/from bypassed stations, take a southbound train.",bx 6 train track maintenance,3:14:03,6,,
1,NYC,AM,MANH,track maintenance,11/01/2019,11/01/2019 1:46:06 AM,Bronx-bound 4 and 6 trains are running on the express track from 42 St-Grand Central to 125 St because of track maintenance at Lexington Av-59 St.,manh 4/6 trains track maintenance,1:46:06,,,
8,NYC,AM,SI,tree branches,11/01/2019,11/01/2019 5:03:48 AM,There is no SIR train service between Tottenville and St. George while we work to remove tree branches off the tracks near Old Town.,si sir train tree branches,5:03:48,,,
45,NYC,AM,BKLYN,tree branches,11/01/2019,11/01/2019 2:51:40 AM,"Q trains are running on the D line in both directions between DeKalb Av and Coney Island-Stillwell Av while we remove a fallen tree branch near Beverley Rd.

See a station agent and receive a courtesy pass for continuing service.

Consider taking nearby B36, B41, B68 buses running along the Q line or B1, B3, B6, B8, B9, B35, and B82 crosstown bus service to nearby 2 D F and N trains.",bklyn q trains,2:51:40,Q,,
15,NYC,PM,BX,unauthorized person,11/01/2019,11/01/2019 8:24:50 PM,Northbound D trains are delayed while we investigate an unauthorized person on the tracks at Kingsbridge Road.,bx d trains unauthorized person on tracks,8:24:50,D,,
29,NYC,PM,QNS,brakes activated,11/02/2019,11/02/2019 3:44:09 PM,G trains are delayed in both directions while we investigate why a train's brakes were activated at Court Sq.,qns g trains brakes activated,3:44:09,G,,
5,NYC,AM,QNS,bridge closed,11/02/2019,11/02/2019 11:24:57 AM,A trains are proceeding with delays in the Rockaways after the South Channel Bride was closed.,qns a train bridge closed,11:24:57,A,,
18,NYC,PM,BX,ems help,11/02/2019,11/02/2019 1:11:32 PM,"Northbound 6 trains are running express from Parkchester to Pelham Bay Park while we get EMS help for someone at Castle Hill Av.

For service to/from bypassed stations, take a southbound train.",bx 6 train ems help,1:11:32,6,,
9,NYC,PM,QNS,mechanical problems,11/02/2019,11/02/2019 1:42:10 PM,"Southbound E, F, and R trains are delayed while we remove a train with mechanical problems at Jackson Heights-Roosevelt Av.",qns e f and r trains mechanical problem,1:42:10,"E, F, R",,
31,NYC,PM,BKLYN,medical problems,11/02/2019,11/02/2019 6:15:08 PM,F and G trains are delayed in both directions while we get medical help for someone at Church Av.,bklyn f and g trains medical assistance,6:15:08,"F, G",,
22,NYC,PM,MANH,medical problems,11/02/2019,11/02/2019 8:56:36 PM,The last stop on some Manhattan-bound M trains will be Essex St while we get medical help for someone at 96 St.,manh m trains medical help,8:56:36,M,,
16,NYC,PM,BKLYN,raccoon,11/02/2019,11/02/2019 11:47:21 PM,Bronx-bound 4 trains are delayed while the police works to retrieve a raccoon on the tracks at Nevins St.,bklyn 4 trains raccoon on the tracks,11:47:21,4,,
30,NYC,PM,BKLYN,raccoon,11/02/2019,11/02/2019 10:52:09 PM,Crown Heights-bound 4 trains are delayed while we request assistance to retrieve a raccoon on the tracks at Nevins St.,bklyn 4 trains raccoon on the tracks,10:52:09,4,,
31,NYC,AM,,rail replacement work,11/02/2019,11/02/2019 4:02:20 AM,"N trains have multiple impacts and delays while our crews perform rail replacement work in the tunnel between Lexington Av-59 St and Queensboro Plaza. 

Some Astoria-bound N trains are stopping on the Q line from 57 St-7 Av ending at 96 St. 

Expect longer wait times in N service between Astoria-Ditmars Blvd and 5 Av-59 St.",manh/qns n trains rail replacement work,4:02:20,N,,
25,NYC,PM,BKLYN,shuttle buses,11/02/2019,11/02/2019 6:24:21 PM,"Southbound F train shuttle buses are detoured because of a blocked turn on W 8 St and Surf Av. 

Southbound: Via Shell Rd, right on Neptune Av, left on W 12 St, right on Surf Av and regular route.",bklyn f train shuttle buses blocked turn,6:24:21,F,,
13,NYC,AM,MANH,sick passenger,11/02/2019,11/02/2019 8:13:05 AM,Southbound N and R trains are proceeding with delays after EMS assisted a customer at 57 St-7 Av.,manh n and r trains sick passenger,8:13:05,"N, R",,
14,NYC,PM,MANH,signal malfunction,11/02/2019,11/02/2019 7:04:54 PM,Northbound N and R trains are running with delays because of a signal malfunction at Lexington Av/59 St.,manh n and r trains signal malfunction,7:04:54,"N, R",,
1,NYC,AM,MANH,signal problems,11/02/2019,11/02/2019 3:09:54 AM,"Uptown A and E trains are running on the express track from Canal St to 59 St-Columbus Circle/42 St-Port Authority Bus Terminal because of a signal problem near West 4 St-Washington Square.

For service to/from bypassed stations, take a downtown train.",manh a and e trains signal problem,3:09:54,"A, E",,
20,NYC,PM,MANH,signal problems,11/02/2019,11/02/2019 8:59:43 PM,Southbound R trains are delayed while we work to correct a signal problem at Cortlandt St.,manh r trains signal problem,8:59:43,R,,
7,NYC,PM,MANH,struck by train,11/02/2019,11/02/2019 9:21:46 PM,Southbound 1 2 3 trains are delayed while we investigate reports that someone was struck by a train at 34 St-Penn Station.,manh 1 2 and 3 trains customer struck by train,9:21:46,"1, 2, 3",,
6,NYC,AM,QNS,switch problems,11/02/2019,11/02/2019 11:22:50 AM,"F trains are not running between 179 St-Jamaica and Briarwood because of a switch problem at 169 St.

Some northbound F trains are running on the E line from Forest Hills-71 Av to Jamaica Ctr-Parsons Archer.

See a station agent for a courtesy pass to continue service on a subway or bus.

As an alternative, take the Q60 bus.",qns f train switch poblem,11:22:50,F,,
12,NYC,AM,QNS,switch problems,11/02/2019,11/02/2019 2:32:50 AM,Northbound F trains are running on the local track from Jackson Hts-Roosevelt Av to Forest Hills-71 Av because of a switch problem at Jackson Hts-Roosevelt Av.,qns f trains switch problem,2:32:50,F,,
38,NYC,AM,MANH,track maintenance,11/02/2019,11/02/2019 1:10:41 AM,"Downtown 1 and 2 trains are running on the express track from 96 St to 72 St because of track maintenance at 96 St. 

For service to/from bypassed stations, take a Bronx-bound train.",manh 1 and 2 trains track maintenance,1:10:41,"1, 2",,
9,NYC,AM,MANH,track maintenance,11/02/2019,11/02/2019 2:39:29 AM,Q trains are delayed in both directions while we conduct temporary track maintenance at 57 St.,manh q train track maintenance,2:39:29,Q,,
25,NYC,AM,BX,brakes activated,11/03/2019,11/03/2019 1:33:32 AM,Wakefield-bound 2 trains are delayed while we investigate why a train's brakes were activated at Jackson Av.,bx 2 trains brakes activated,1:33:32,2,,
2,NYC,PM,BKLYN,disruptive passenger,11/03/2019,11/03/2019 10:10:25 PM,"4, 5 and 6 service is delayed in both directions because of an unauthorized person on the tracks at Brooklyn Bridge-City Hall.",bklyn 4/5/6 trains disruptive passenger,10:10:25,,,
38,NYC,PM,MANH,door problems,11/03/2019,11/03/2019 10:41:28 PM,Expect longer wait times for southbound 4 trains while we remove a train with a door problem from service at Nevins St.,manh 4 train door problem,10:41:28,4,,
32,NYC,PM,BKLYN,ems help,11/03/2019,11/03/2019 3:45:38 PM,Southbound 2 and 3 trains are delayed while we get EMS for someone at Clark St.,bklyn 2 and 3 trains ems assistance,3:45:38,"2, 3",,
44,NYC,PM,MANH,ems help,11/03/2019,11/03/2019 3:01:18 PM,Northbound 4 and 5 trains are holding in stations while we get EMS for someone at 125 St.,manh 4 and 5 trains ems assistance,3:01:18,"4, 5",,
36,NYC,PM,MANH,ems help,11/03/2019,11/03/2019 3:23:08 PM,"Southbound 6 trains are running on the express track from 125 St to Grand Central-42 St while we get EMS for someone at 68 St-Hunter College.

For service to/from bypassed stations, take a northbound train.",manh 6 trains ems assistance,3:23:08,6,,
47,NYC,PM,MANH,fdny,11/03/2019,11/03/2019 10:23:05 PM,Southbound 2 and 3 trains are running on the local track from 96 St to Times Sq-42 St because of FDNY assistance for a track fire at 72 St.,manh 2/3 trains fdny assistance,10:23:05,,,
22,NYC,AM,MANH,fdny,11/03/2019,11/03/2019 10:04:56 AM,"Southbound A and C trains are not stopping at 135 St because of FDNY activity at that station.
For service to/from 135 St, take a northbound train.",manh a and c train fdny activity,10:04:56,"A, C",,
25,NYC,PM,BKLYN,mechanical problems,11/03/2019,11/03/2019 1:05:17 PM,8 Av-bound L trains are delayed while we remove a train with mechanical problems from service at Myrtle-Wyckoff Avs.,bklyn l train mechanical problem,1:05:17,L,,
10,NYC,AM,BX,mechanical problems,11/03/2019,11/03/2019 2:14:52 AM,Wakefield-bound 2 trains are delayed while we remove a train with a mechanical problem from service at East Tremont Av-West Farms Square.,bx 2 trains mechanical problem,2:14:52,2,,
45,NYC,PM,BKLYN,medical problems,11/03/2019,11/03/2019 12:22:35 PM,Northbound 4 trains delayed while we request EMS assistance for someone at Atlantic Av-Barclays Ctr.,bklyn 4 trains medical assistance,12:22:35,4,,
16,NYC,AM,MANH,medical problems,11/03/2019,11/03/2019 10:47:15 AM,Expect longer wait times in northbound 4 5 and 6 train service after earlier reports of someone in need of medical assistance  at 14 St-Union Sq.,manh 45 and 6 trains medical assistance-earlier incident,10:47:15,6,,
48,NYC,AM,MANH,medical problems,11/03/2019,11/03/2019 9:01:06 AM,Northbound R trains are delayed while we request EMS assistance for someone at 14 St-Union Sq.,manh r trains medical assistance,9:01:06,R,,
22,NYC,PM,MANH,sick passenger,11/03/2019,11/03/2019 1:18:11 PM,Southbound 4 trains are delayed while we request EMS assistance for someone at Brooklyn Bridge-City Hall.,manh 4 train sick customer,1:18:11,4,,
25,NYC,PM,BKLYN,signal problems,11/03/2019,11/03/2019 11:26:39 PM,Southbound 3 and 4 trains are running at slower speeds near Utica Av because of a signal problem at that station.,bklyn 3 and 4 trains signal problem,11:26:39,"3, 4",,
19,NYC,AM,BKLYN,signal problems,11/03/2019,11/03/2019 10:31:15 AM,Broad St-bound J and 96 St-bound M trains are running at slower speeds while we work to correct a signal problem at Delancey St-Essex St.,bklyn j and m trains signal problems,10:31:15,"J, M",,
3,NYC,AM,BX,signal problems,11/03/2019,11/03/2019 8:20:25 AM,Southbound 6 trains are running at slower speeds while we work to correct a signal problem at Parkchester.,bx 6 trains signal problem,8:20:25,6,,
49,NYC,AM,MANH,signal problems,11/03/2019,11/03/2019 9:00:26 AM,2 trains are running with delays in both directions because of a signal problem at E 180 St.,manh 2 train signal problem,9:00:26,2,,
48,NYC,PM,BKLYN,unsanitary train,11/03/2019,11/03/2019 12:19:37 PM,Southbound A and C trains are running with delays while we isolate a dirty train car at Hoyt-Schermerhorn.,bklyn a and c trains isolated dirty car,12:19:37,"A, C",,
39,NYC,AM,MANH,track maintenance,11/03/2019,11/03/2019 3:06:21 AM,South Ferry-bound 1 trains are delayed while crews perform track maintenance at WTC-Cortlandt.,manh 1 trains track maintenance,3:06:21,1,,
6,NYC,AM,MANH,track maintenance,11/03/2019,11/03/2019 2:23:07 AM,N trains are delayed in both directions while crews perform track maintenance at Lexington Av-59 St.,manh n trains track maintenance,2:23:07,N,,
34,NYC,PM,MANH,vandalized trains,11/03/2019,11/03/2019 10:51:00 PM,Expect longer wait times for Queens-bound 7 trains while we remove a vandalized train from service at 34 St-Hudson Yards.,manh 7 trains vandalized train,10:51:00,7,,
23,NYC,PM,BKLYN,brakes activated,11/04/2019,11/04/2019 8:25:09 PM,Expect longer wait times in southbound 4 train service after we moved a train with it's brakes activated at Crown Hts-Utica Av.,bklyn 4 trains brakes activated,8:25:09,4,,
5,NYC,PM,BKLYN,brakes activated,11/04/2019,11/04/2019 7:38:00 PM,Northbound B and Q trains are holding in stations in Brooklyn while we investigate why a train's brakes were activated at Prospect Park.,bklyn b and q trains brakes activated,7:38:00,"B, Q",,
13,NYC,AM,BKLYN,brakes activated,11/04/2019,11/04/2019 11:24:45 AM,Southbound F trains are delayed while we investigate what activated a train's brakes at W 8 St-NY Aquarium.,bklyn f train brakes activated,11:24:45,F,,
48,NYC,PM,MANH,brakes activated,11/04/2019,11/04/2019 7:57:47 PM,Southbound 1 trains are delayed while we investigate why a train's brakes were activated at Rector St.,manh 1 trains brakes activated,7:57:47,1,,
16,NYC,AM,MANH,brakes activated,11/04/2019,11/04/2019 1:53:01 AM,Southbound 1 trains are delayed while we investigate a train that had its brakes activated at 191 St.,manh 1 trains brakes activated,1:53:01,1,,
7,NYC,AM,MANH,brakes activated,11/04/2019,11/04/2019 4:23:37 AM,Northbound D trains are delayed while we investigate a train that had its brakes activated at 155 St.,manh d trains brakes activated,4:23:37,D,,
23,NYC,PM,QNS,disruptive passenger,11/04/2019,11/04/2019 4:07:58 PM,Expect longer wait times for Jamaica-bound J trains after NYPD removed a disruptive passenger at 104 St.,qns j trains disruptive passenger,4:07:58,J,,
29,NYC,AM,BKLYN,door problems,11/04/2019,11/04/2019 8:18:50 AM,Northbound A trains are delayed while we remove a train with a door problem from service at Utica Av.,bklyn a train door problem,8:18:50,A,,
0,NYC,AM,MANH,door problems,11/04/2019,11/04/2019 9:49:53 AM,Expect longer waits for southbound A trains after we fixed a door problem on a train at 175 St.,manh a train door problem,9:49:53,A,,
17,NYC,PM,MANH,door problems,11/04/2019,11/04/2019 8:37:35 PM,Southbound R trains are running with delays while we work to correct a train with a door problem at Canal St.,manh r trains door problem,8:37:35,R,,
10,NYC,PM,BKLYN,door problems,11/04/2019,11/04/2019 4:44:34 PM,Southbound D trains are holding in stations in Brooklyn while our crews work to correct a door malfunction on a train at 18 Av.,bklyn d trains door malfunction,4:44:34,D,,
3,NYC,PM,MANH,door problems,11/04/2019,11/04/2019 5:14:12 PM,J trains are holding in stations in both directions while we remove a train with a door malfunction from service at Chambers St.,manh j trains door malfunction,5:14:12,J,,
22,NYC,AM,BKLYN,ems help,11/04/2019,11/04/2019 8:25:58 AM,Northbound 2 and 3 trains are delayed while we remove a train from service and get medical help for someone at Borough Hall.,bklyn 2 and 3 trains ems assistance,8:25:58,"2, 3",,
19,NYC,AM,BX,ems help,11/04/2019,11/04/2019 5:53:30 AM,Northbound 2 trains are delayed while we request EMS assistance for a sick passenger at Bronx Park East.,bx 2 train ems assistance,5:53:30,2,,
41,NYC,AM,MANH,ems help,11/04/2019,11/04/2019 8:04:02 AM,"Southbound A trains are running on the local track from 42 St-Port Authority Bus Terminal to W 4 St-Wash Sq while EMS assists someone at Canal St.

Southbound A trains that are on the express track are holding in stations from 34 St-Penn Station to Canal St.",manh a train ems assistance,8:04:02,A,,
40,NYC,AM,MANH,ems help,11/04/2019,11/04/2019 8:05:26 AM,Southbound C and E trains are holding in stations in Manhattan while EMS assists someone at Canal St.,manh c and e trains ems assistance,8:05:26,"C, E",,
24,NYC,AM,MANH,ems help,11/04/2019,11/04/2019 1:38:36 AM,Northbound A and D trains are delayed while we request EMS assistance for an injured passenger at 125 St.,manh d train ems assistance,1:38:36,D,,
33,NYC,AM,QNS,ems help,11/04/2019,11/04/2019 1:23:23 AM,Southbound N trains are delayed while we request EMS assistance for an injured passenger at 30 Av.,qns n train ems assistance,1:23:23,N,,
6,NYC,PM,BKLYN,fdny,11/04/2019,11/04/2019 9:14:51 PM,"Northbound D trains are running express from Bay Pkwy to 62 St while we request FDNY to investigate reports of smoke at Bay Pkwy.

For service to/from bypassed stations, consider using southbound D train service.",bklyn d trains fdny,9:14:51,D,,
30,NYC,AM,BKLYN,investigation,11/04/2019,11/04/2019 5:38:12 AM,Manhattan-bound L trains are delayed while our crews conduct an investigation on the tracks at Bushwick Av-Aberdeen St.,bklyn l train track investigation,5:38:12,L,,
46,NYC,AM,MANH,investigation,11/04/2019,11/04/2019 8:41:55 AM,Southbound 1 trains are proceeding with delays after NYPD responded to a request for assistance at Chambers St.,manh 1 train investigation,8:41:55,1,,
21,NYC,AM,BKLYN,lost child,11/04/2019,11/04/2019 7:25:24 AM,Northbound C trains are delayed while NYPD checks a train for a lost child at Liberty Av.,bklyn c train lost child,7:25:24,C,,
17,NYC,AM,BX,mechanical problems,11/04/2019,11/04/2019 7:31:31 AM,"Southbound 5 trains are running express from Eastchester-Dyre Av to East 180 St while we remove a train with a mechanical problem from service at Baychester Av.

Expect delays in southbound service.

For service to/from Baychester Av, Gun Hill Rd, Pelham Pkwy and Morris Park, take a northbound train.",bx 5 train mechanical problem,7:31:31,5,,
8,NYC,PM,BX,mechanical problems,11/04/2019,11/04/2019 1:36:38 PM,Expect longer waits for southbound D trains after we removed a train with a mechanical problem from service at Norwood-205 St.,bx d train mechanical problem,1:36:38,D,,
35,NYC,PM,,mechanical problems,11/04/2019,11/04/2019 4:00:34 PM,Main St-bound 7 trains are delayed while we remove a train with mechanical problems from service at 34 St-Hudson Yards.,manh. 7 trains mechanical problem,4:00:34,7,,
19,NYC,PM,BKLYN,medical problems,11/04/2019,11/04/2019 8:33:34 PM,Northbound 4 trains are delayed while we request EMS assistance for someone at Crown Hts-Utica Av.,bklyn 4 trains medical assistance,8:33:34,4,,
15,NYC,AM,BKLYN,medical problems,11/04/2019,11/04/2019 9:20:41 AM,Northbound B and Q trains are delayed while we get medical help for someone at DeKalb Av.,bklyn b and q train medical help,9:20:41,"B, Q",,
9,NYC,PM,BKLYN,medical problems,11/04/2019,11/04/2019 3:18:48 PM,Jamaica-bound J trains are running local from Marcy Av to Myrtle Av while we request medical assistance for someone at Myrtle Av.,bklyn j trains medical assistance,3:18:48,J,,
7,NYC,PM,BKLYN,medical problems,11/04/2019,11/04/2019 3:24:02 PM,Northbound N trains are running local from 59 St (Bklyn) to 36 St (Bklyn) while we request medical assistance for someone at 59 St (Bklyn).,bklyn n trains medical assistance,3:24:02,N,,
6,NYC,PM,BKLYN,medical problems,11/04/2019,11/04/2019 3:24:37 PM,Expect delays in R train service as they share the local track with N trains while we request medical assistance for someone at 59 St (Bklyn).,bklyn r trains medical assistance,3:24:37,R,,
